TEMP,TNMFRC,PERMANENT_,SOURCE_FEA,SOURCE_DAT,SOURCE_D00,SOURCE_ORI,LOADDATE,INTERSTATE,INTERSTA00,INTERSTA01,INTERSTA02,US_ROUTE,US_ROUTE_A,US_ROUTE_B,US_ROUTE_C,STATE_ROUT,STATE_RO00,STATE_RO01,STATE_RO02,COUNTY_ROU,FEDERAL_LA,STCO_FIPSC,FULL_STREE,MTFCC_CODE,SHAPE_LENG
488618,4,6cf82a97-f471-4ce2-b2dd-e566b5c4bcfd,110686376084,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208115906,,,,,,,,,,,,,,,48113,Blakeley,S1400,0.00102603250212049
488620,4,8602e6f9-e947-44b0-aa83-203cc9d6fa89,110686410432,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208133159,,,,,,,,,,,,,,,48113,E John Carpenter Fwy,S1640,0.00157515846104547
488621,4,85819b17-73a8-4f10-9594-7da410a59779,110686323364,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208120234,,,,,,,,,,,,,,,48113,W Svc Rd,S1640,0.00040696923492268
574948,4,b61e1dbf-d520-4a09-a4bd-34316cfac36b,110686391226,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208111804,,,,,,,,,,,,,,,48113,E Northgate Dr,S1400,0.00652709040010318
574949,4,14b09e7f-4400-43b0-9384-a87f3489a5fd,110686455357,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208121145,,,,,,,,,,,,,,,48113,,S1400,0.000213788951517917
575197,4,1305617f-d7ba-4558-82d1-1cfeed16af0d,1102500508761,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208130205,,,,,,,,,,,,,,,48113,Hagger Ct,S1400,0.000848666353831341
575198,4,59db526f-a5e7-4b99-9c2a-99e0723ec62e,110686388007,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208131633,,,,,,,,,,,,,,,48113,Dominican Ln,S1400,0.000710313442431723
575199,4,3f4028e4-194c-4586-9323-5817194df443,110686391227,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208115634,,,,,,,,,,,,,,,48113,E Northgate Dr,S1400,0.00195829837332545
575200,4,f3b5eaec-9436-4c69-90d8-cdf51fa25f81,110686459731,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208131933,,,,,,,,,,,,,,,48113,,S1400,0.000339558206168023
575201,4,fe531a19-08ca-4bfa-8ffa-26ed352da13d,110686391227,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208115634,,,,,,,,,,,,,,,48113,E Northgate Dr,S1400,0.000141999999755171
