osm_id,name,highway,waterway,aerialway,barrier,man_made,z_order,other_tags
10005060,East John Carpenter Freeway,secondary,,,,,6,"""oneway""=>""yes"",""tiger:cfcc""=>""A64"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""John Carpenter"",""tiger:name_direction_prefix""=>""E"",""tiger:name_type""=>""Fwy"",""tiger:reviewed""=>""no"""
9957320,Crusader Drive,service,,,,,0,"""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Crusade"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""75062"",""tiger:zip_right""=>""75062"""
329545841,,secondary_link,,,,,26,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"""
25728199,East John W Carpenter Freeway,motorway,,,,,9,"""lanes""=>""2"",""maxspeed""=>""60 mph"",""oneway""=>""yes"",""ref""=>""TX 114"",""tiger:cfcc""=>""A35"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""John W Carpenter"",""tiger:name_base_1""=>""State Highway 183"",""tiger:name_base_2""=>""State Highway 114"",""tiger:name_direction_prefix""=>""E"",""tiger:name_type""=>""Fwy"""
329545685,,secondary_link,,,,,6,"""oneway""=>""yes"""
329545840,,secondary_link,,,,,6,"""oneway""=>""yes"""
9961378,Maher Lane,residential,,,,,3,"""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Maher"",""tiger:reviewed""=>""no"""
9977006,Tom Braniff Drive,secondary,,,,,6,"""oneway""=>""yes"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Tom Braniff"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""no"",""tiger:separated""=>""no"",""tiger:source""=>""tiger_import_dch_v0.6_20070829"",""tiger:tlid""=>""102893520:103201580:103201581:103005248:103203252"",""tiger:zip_left""=>""75039"",""tiger:zip_right""=>""75039"""
329545682,,secondary_link,,,,,26,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"""
9968868,Vince Hagen Drive,service,,,,,0,"""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Vince Hagen"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""no"""
488378399,,footway,,,,,0,
488378398,,steps,,,,,0,
488378397,,footway,,,,,0,
610359327,,service,,,,,0,
488378396,,footway,,,,,0,
386198279,,secondary_link,,,,,6,
610359326,,service,,,,,0,
386198278,,secondary_link,,,,,6,
610359325,,service,,,,,0,"""service""=>""parking_aisle"""
386198277,,service,,,,,0,
544831166,TEXpress Lane,construction,,,,,0,"""construction""=>""motorway"",""maxspeed:advisory""=>""15 mph"",""oneway""=>""yes"",""toll""=>""yes"""
386198273,,service,,,,,0,
9970663,,service,,,,,0,"""junction""=>""roundabout"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Haggerty"""
612860923,,service,,,,,0,
9970661,Haggerty Lane,service,,,,,0,"""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Haggerty"",""tiger:reviewed""=>""no"""
386198430,,service,,,,,0,
154423402,,secondary_link,,,,,6,"""oneway""=>""yes"""
386198429,,service,,,,,0,
